,VIOLATION_DESC,VIOLATION_TEXT
0,Banners,Section 17.32.060 & 17.32.070 -  Banners: Banners may be used as temporary on-premises signs with proper permits. All permanent on-premises signs shall be constructed of rigid materials. 
1,Proper Maintenance Req - Owner,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems."
2,Proper Maintenance Req,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition."
3,Building Permit Required,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof."
4,Scope of Building Code,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems."
5,Boarding Requirements,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building. "
6,Boarding of Vacant Buildings,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured."
7,Vehicle In The Right-Of-Way,"Section 12.08.210 - Abandoned Vehicles: Abandoned vehicles on the street, alley, highway or thoroughfare is prohibited. -"
8,Certificate of Compliance Required,"Section 17.40.580 - Certificate of Compliance: Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of this zoning code. The certificate of compliance shall be posted within the building in a manner viewable by the public."
9,Certificate of Occupancy Required,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued. "
10,Chickens and Other Domestic Farm Animals,Section 17.16.330 (B) (2)(3) - Domestic Animals/Wildlife:  Chickens and other domestic farm animals are not permitted in this zoning district. 
11,Consignment Sale,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another. "
12,Overcrowding – Unrelated Adults,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit. "
13,Overcrowding – Group Home,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.
14,Dumping in permitted places,Section 10.20.130 - Dumping permitted in designated places only: (A). It is unlawful for any person to dispose of or cause to be disposed any waste upon any property other than a disposal cility designated and approved by the metropolitan government. 
16,Hours of Collection & Dumpster Required,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.
17,Electrical System Hazards,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard. "
18,Electrical System Certification,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.
19,Electrical Receptacles,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.
20,Electrical Equipment ,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner."
21,Electrical Lighting Fixtures,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture. "
22,Electrical Facilities Required,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.
23,Electrical Service Panel,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used."
24,Exterior Prop Area – Vehicles – Parking,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.  "
25,Exterior Prop Area – Acces Structures,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition."
26,Exterior of Bldgs – Basement Hatchways,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water."
27,Exterior of Buildings - Balconies,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
28,Exterior of Bldgs – Chimneys and Towers,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair. "
29,Exterior of Buildings – Decks,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads."
30,Exterior of Bldgs – Decorative Features,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition."
31,Exterior Prop Area – Fences  Barbed Wire,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330. 
32,Exterior of Buildings – Doors,"Section 16.24.340 (Q) – Doors: All exterior doors, door assemblies, and hardware shall be maintained in good condition. Locks at all entrances to dwelling units, rooming units and guestrooms shall tightly secure the door. Locks on means of egress doors shall be in accordance with the requirements of Section 16.24.530 as follows: All means of egress doors shall be readily openable from the side from which egress is to be made without the need for keys or special knowledge, tools, or effort, except where the door conforms to that permitted by the building code."
33,Exterior of Buildings – Premises ID Res,"Section 16.24.340 (C)(1)– Premises Identification: All buildings and structures within Metropolitan Nashville and Davidson County shall have approved address numbers posted – Residential property shall have their numbers at least three inches in size, on a contrasting background and in a position plainly visible and legible from the street or road fronting the property."
34,Extermination – Multiple Occupancy,"Section 16.24.370 (C) - Extermination required (Multiple Occupancy) The owner of a building or structure containing two or more dwelling units, a multiple occupancy, a rooming house, or a nonresidential building or structure shall be responsible for extermination in the public or shared areas of the building or structure and exterior property. If infestation is caused by failure of an occupant to prevent such infestation in the area occupied by said occupant, the occupant shall be responsible for extermination."
35,Extermination – Single Occupant,Section 16.24.370 (B) - Extermination Required (Single Occupant) The occupant of a one-family dwelling or of a single-tenant nonresidential structure shall be responsible for extermination on the premises.
36,Extermination – Owner,"Section 16.24.370 (A) - Extermination Required (Owner Responsibility) The owner of any building or structure shall be responsible for extermination within the building or structure, or part thereof, prior to renting or leasing the building or structure, or part thereof."
37,Extermination Required,"Section 16.24.370 - Extermination Required. Approved extermination processes that are not injurious to human health shall be promptly employed to rid any building or structure in which insects or rodents are found. After extermination, proper precautions shall be taken to prevent re-infestation."
38,Extermination – Occupant,Section 16.24.370 (D) - Extermination Required (Occupant) The occupant of any building or structure shall be responsible for the continued rodent and pest-free condition of the structure.
39,Exterior Prop Area – Exhaust Vents,"Section 16.24.330 (G) – Exhaust Vents: Exhaust pipes, ducts, conductors, fans, vents, or blowers shall not discharge gases, steam, vapor, hot air, crease, smoke, odors, or other gaseous or particulate wastes directly upon abutting or adjacent public or private property or that of another tenant."
40,Exterior of Buildings – Exterior Walls,"Section 16.24.340 (F) – Exterior Walls: All exterior walls shall be free from holes, breaks, and loose or rotting materials, and shall be maintained in a weatherproof and properly coated where required to prevent deterioration."
41,Exterior of Buildings – Foundation Walls,Section 16.24.340 (E) – Foundation Walls: All foundation walls shall be maintained plump and free from open cracks and break and shall be kept in such condition so as to prevent the entry of rodents and other pests.
42,Exterior Prop Area – Fence Material Main,"Section 16.24.330 (M) – Fence Maintenance: Metal fences shall consist of materials manufactured and/or treated in a manner to prevent rust or corrosion. Wood fences shall be painted, stained or preserved in a manner to maintain the fence in food structural condition. This is not limited to the replacement of broken boards or sections and preventing paint from peeling."
