,3212.0
"
&",1.0
"
3",1.0
"
port",1.0
!!!,5.0
"!!!
abandoned",1.0
"!!!
illegal",1.0
"!!!
parking",1.0
"!!!
reported",1.0
"!!!
this",1.0
!!!!high,1.0
#,26.0
#'s)vehicle,1.0
#-v84-56c)vehicle,1.0
#.,1.0
#10.,1.0
#16,1.0
#2,1.0
#2-,1.0
#335cek,1.0
#3fence,1.0
"#4,",1.0
#406,1.0
#421,1.0
#429-vfkvehicle,1.0
#5,1.0
#64;,1.0
#697-ykbunlic,1.0
#7114,1.0
#715.,1.0
#8,1.0
"#8,",1.0
#8d9-5c8vehicle,1.0
#9open,1.0
#:,1.0
#address,14.0
#excess,1.0
#exterior,1.0
#h277733unlic,1.0
#strp,1.0
$35,1.0
$50,1.0
&,2471.0
&736,1.0
&____,1.0
&debris;,1.0
&trash/debrisexterior,1.0
'16unlic,1.0
(,15.0
(1,1.0
(14),1.0
(14)use,1.0
(1412,1.0
(15,1.0
(16).use,1.0
(16x20)building,1.0
(18)strp,1.0
(2,6.0
(2),2.0
"(2),",1.0
(2).electronic,1.0
(2)building,1.0
(2)exterior,3.0
(2)parking,1.0
(2)vehicle,1.0
(20,1.0
(200+,1.0
(233,1.0
(3,2.0
(3),1.0
(3).,1.0
(3)exterior,2.0
(3)unlic,1.0
(3928)prohibited,1.0
(3rd,1.0
(4,2.0
(4).,1.0
(4th,2.0
(4x8,1.0
(5,2.0
(5)use,1.0
(5th,2.0
(6),2.0
(6.28.030)use,1.0
(609,1.0
(6th,1.0
(833,1.0
(a-frame),1.0
(abate,1.0
(ac,1.0
(actual,1.0
(add,2.0
(added,9.0
(adding,2.0
(advised,1.0
(all,1.0
(also,1.0
(and,1.0
(appears,1.0
(appliances),1.0
(appliances)open,1.0
"(appliances,",1.0
(approximately,1.0
(area,48.0
(army,1.0
(asphalt),1.0
(associated,1.0
(at,3.0
(audit,1.0
(audit)excess,2.0
(audit)exterior,1.0
(audit)high,3.0
(audit)open,2.0
(auto,7.0
(autozone)unlic,1.0
(back,10.0
(backyard,1.0
(backyard)exterior,1.0
(bags,6.0
"(bags),",1.0
(barns,1.0
(basement),1.0
(behind,5.0
(being,1.0
(bellfield,1.0
(best,1.0
(beware,3.0
(black,5.0
(blankets,1.0
(blue,3.0
(blue)vehicle,1.0
(boards,1.0
(both,1.0
(box,1.0
"(boxes,",1.0
(brick,3.0
(broken,1.0
(brown,1.0
(brush,2.0
(budget,1.0
(building,2.0
"(building,",1.0
(bus),1.0
(bus)unlic,1.0
(bushes,1.0
(business,1.0
(busted,1.0
(by,2.0
(cadillac,1.0
(can,1.0
(car,2.0
(carport,1.0
(carport),1.0
"(carport),",1.0
(carport)exterior,1.0
(case,1.0
(chair)open,1.0
(chairs,1.0
(champagne)vehicle,1.0
(change,1.0
(checck,1.0
(check,3.0
(chevrolet,1.0
(chimney)exterior,1.0
(choppers)prohibited,1.0
(claimant,1.0
(closed,1.0
(commercial,1.0
(complainant,2.0
(complaint,2.0
(complaintant,1.0
(constr,1.0
(conversion,1.0
(convertible),1.0
(corner,3.0
(couch,9.0
"(couch),",1.0
(couch)open,9.0
"(covered),",1.0
(cream,1.0
"(daily's)banners,signs",1.0
(debris,1.0
(deck)exterior,1.0
(delapidated,1.0
(dog,1.0
(down,1.0
(down),1.0
(downed,1.0
(downspout,1.0
"(drop-cords),use",1.0
(drycleaners)graffiti,1.0
(drywall,1.0
(ducks)chickens,1.0
(dumpster,2.0
(duplex,1.0
