,VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,VIOLATION_TEXT,REMEDIAL_TEXT,TABLE_NAME,EXPIRED_FLAG,DATE_EXPIRED,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED,FEE_SETUP_ID,Unnamed: 14,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,master_category
0,1,1,BANNERS,banners,Section 17.32.060 & 17.32.070 -  Banners: Banners may be used as temporary on-premises signs with proper permits. All permanent on-premises signs shall be constructed of rigid materials. ,CAAZ_BANNERS,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,illegal_business_operations,,,,,,,illegal_business_operations
1,2,1,BGMATOWNER,proper maintenance req - owner,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems.",CAAH_BG_MATOWNER,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
2,4,1,BLDGMAINT,proper maintenance req,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition.",CAAH_BLDG_MAINT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,prop,,,,,,,,,,,,prop
3,5,1,BLDGPERMIT,building permit required,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof.",CAAB_BLDG_PERMIT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,illegal_business_operations,,,,,,,illegal_business_operations
4,6,1,BLDGSCOPE,scope of building code,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems.",CAAH_BLDG_SCOPE,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,,,,misc,misc
5,7,1,BOARDINGRQ,boarding requirements,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building. ",CAAH_BOARDING_REQU,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,,,,misc,misc
6,8,1,BOARDVAC,boarding of vacant buildings,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured.",CAAH_BOARDING_VABLDG,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,,,,misc,misc
7,9,1,CARROW,vehicle in the right-of-way,"Section 12.08.210 - Abandoned Vehicles: Abandoned vehicles on the street, alley, highway or thoroughfare is prohibited. -",CAMCL_SEW_CONCT,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,vehicle,,,,,vehicle
8,10,1,CERTCOMP,certificate of compliance required,"Section 17.40.580 - Certificate of Compliance: Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of this zoning code. The certificate of compliance shall be posted within the building in a manner viewable by the public.",CAAZ_CERT_COMP,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,illegal_business_operations,,,,,,,illegal_business_operations
9,11,1,CERTOCC,certificate of occupancy required,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued. ",CAAH_CERT_OCC,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,illegal_business_operations,,,,,,,occupancyillegal_business_operations
10,12,1,CHICKFARM,chickens and other domestic farm animals,Section 17.16.330 (B) (2)(3) - Domestic Animals/Wildlife:  Chickens and other domestic farm animals are not permitted in this zoning district. ,CAAZ_CHICK_ANIMALS,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,,,,,animals,,,animals
11,13,1,CONSIGSALE,consignment sale,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another. ",CAAZ_CONSIGN_SALE,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,,,,illegal_business_operations,,,,,,,illegal_business_operations
12,14,1,CROWDEDFM,overcrowding – unrelated adults,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit. ",CAAZ_OVCROWDEDFM,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
13,15,1,CROWDGH,overcrowding – group home,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.,CAAZ_OVCROWDEDGH,,N,,1.0,2014-07-09 08:03:52.640000,,,,,,,occupancy,,,,,,,,,,occupancy
