Freq in categories,Word
8,vehicle
7,permitted
7,required
7,storage
7,sales
7,sell
6,requirements
6,failure
6,excess
6,permit
6,public
6,sale
5,certificate
5,conditions
5,prohibited
5,possession
5,business
5,chickens
5,building
5,location
5,lighting
5,premises
5,keeping
5,illegal
5,permits
5,address
5,single
5,owners
5,limits
5,height
5,posted
5,owner
5,hotel
5,signs
5,sign
5,dist
4,right-of-way
4,registration
4,unauthorized
4,residential
4,application
4,information
4,protection
4,compliance
4,wholesaler
4,commercial
4,facilities
4,contraband
4,displayed
4,statement
4,operating
4,privilege
4,wholesale
4,landlord
4,distance
4,purchase
4,exterior
4,employee
4,issuance
4,bedrooms
4,unlawful
4,delivery
4,transfer
4,premise
4,display
4,percent
4,payment
4,require
4,revoked
4,special
4,without
4,retail
4,resale
4,locked
4,notice
4,vendor
4,minors
4,safety
4,noise
4,6-Dec
4,minor
4,sewer
4,drugs
4,doors
4,FALSE
4,fence
4,event
4,water
4,units
4,years
4,trash
4,waste
4,motel
4,beer
4,name
4,wind
4,open
4,site
4,room
4,near
3,reconsideration
3,documentation
3,unreasonable
3,manufacturer
3,compensation
3,overcrowding
3,intermittent
3,termination
3,manufacture
3,receptacles
3,advertising
3,distributed
3,retailatory
3,responsible
3,responsbile
3,consumption
3,consignment
3,maintenance
3,dilapidated
3,inspection
3,revocation
3,conviction
3,indicating
3,bankruptcy
3,exhibition
3,violations
3,businesses
3,identified
3,continuous
3,occupation
3,residence
3,agreement
3,transport
3,buildings
3,authority
3,placement
3,financial
3,abandoned
3,unrelated
3,cancelled
3,suspended
3,ownership
3,discharge
3,memoranda
3,loitering
3,approved
3,multiple
3,withhold
3,emission
3,approval
3,churches
3,resident
3,maintain
3,homemade
3,contests
3,flavored
3,labeling
3,security
3,previous
3,domestic
3,supplier
3,threaten
3,material
3,requires
3,beverage
3,district
3,caterer
3,citizen
3,consent
3,setback
3,written
3,parking
3,outdoor
3,suppler
3,contest
3,private
3,motions
3,invoice
3,animals
3,product
3,schools
3,coerce
3,barbed
3,opaque
3,school
3,zoning
3,unsafe
3,onsale
3,fences
3,exceed
3,gallon
3,felony
3,revoke
3,stored
3,action
3,adults
3,months
3,inside
3,garage
3,cancel
3,obtain
3,county
3,credit
3,seller
3,liquor
3,return
3,employ
3,within
3,sports
3,clerk
3,delay
3,limit
3,maint
3,legal
3,brand
3,state
3,valid
3,rider
3,serve
3,level
3,front
3,fees
3,cert
3,prop
3,rear
3,side
3,home
3,keys
3,past
3,bond
3,days
3,area
3,kept
3,city
3,farm
3,wire
3,max
2,reproductions
2,prostitution
2,incarcerated
2,solicitation
2,accumulation
2,supplemental
2,on-premises
2,restriction
2,intoxicated
2,connections
2,improperly
2,sanitation
2,disorderly
2,electrical
2,containers
2,redelivery
2,electronic
2,detectors
2,political
2,landscape
2,permanent
2,temporary
2,turpitude
2,equipment
2,harborage
2,convicted
2,hazardous
2,detriment
2,excessive
2,emergency
2,depicting
2,encourage
2,occupancy
2,bonafide
2,advanced
2,handheld
2,plumbing
2,released
2,fixtures
2,activity
2,disposal
2,contents
2,improper
2,portable
2,simulate
2,occupied
2,gambling
2,vehicles
2,detector
2,invoices
2,returned
2,criminal
2,conduct
2,banners
2,expired
2,devices
2,connect
2,consume
2,greater
2,operate
2,garbage
2,opening
2,charity
2,removal
2,convict
2,harmful
2,passing
2,another
2,install
2,in-room
2,stream
2,sewage
2,â€“bus
2,device
2,egress
2,events
2,church
2,reqmts
2,runoff
2,escape
2,timing
2,window
2,loiter
2,attire
2,exempt
2,stamps
2,proper
2,motion
2,morals
2,ground
2,vacant
2,health
2,comply
2,person
2,faulty
2,paving
2,septic
2,plans
2,right
2,smoke
2,memos
2,width
2,buses
2,draft
2,place
2,using
2,touch
2,moral
2,group
2,blank
2,areas
2,food
2,tree
2,body
2,line
2,tank
2,pics
2,disp
2,meet
2,feet
2,film
2,fire
2,acts
2,laws
2,cans
2,junk
2,etc
2,led
1,tractor-trailer
1,contamination
1,certification
1,extermination
1,distribution
1,infestation
1,ventilation
1,radioactive
1,occupancies
1,pathogenic
1,suspension
1,simulation
1,watercraft
1,vegetation
1,extensions
1,structural
1,dis/repair
1,contiguous
1,structures
1,decorative
1,designated
1,mechanical
1,occupiable
1,collection
1,appliances
1,foundation
1,penalties
1,violation
1,interiors
1,materials
1,stairways
1,habitable
1,clearance
1,locations
1,treatment
1,accessory
1,container
1,hatchways
1,excrement
1,balconies
1,handrails
1,surrender
1,handbills
1,inop/unlc
1,sidewalks
1,facilitie
1,multi-fam
1,bathrooms
1,chimneys
1,sleeping
1,painting
1,openable
1,overhang
1,stagnant
1,drainage
1,nuisance
1,genitals
1,boarding
1,dumpster
1,occupant
1,driveway
1,sidewalk
1,declared
1,interior
1,vacation
1,citizens
1,property
1,graffiti
1,basement
1,swimming
1,provided
1,features
1,sanitary
1,standard
1,trailers
1,surfaces
1,dwelling
1,publicly
1,exceeds
1,vending
1,clothes
1,general
1,minimum
1,running
1,ceiling
1,fencing
1,cooking
